scenario;r;rr;value_min;Region_1_Coord;Region_2_Coord
6_AVG_SWE;R_DE;R_DK;0;Point (10.39366155475279996 51.10659218573432838);Point (10.0462984146926555 55.96339824225690762)
6_AVG_SWE;R_DE;R_FR;0;Point (10.39366155475279996 51.10659218573432838);Point (2.55195521677779524 46.56450205398793685)
6_AVG_SWE;R_DE;R_LU;-2.95E-08;Point (10.39366155475279996 51.10659218573432838);Point (6.0878139690320392 49.77062957536391963)
6_AVG_SWE;R_DE;R_NL;0;Point (10.39366155475279996 51.10659218573432838);Point (5.60341802694661251 52.2492632896254392)
6_AVG_SWE;R_DE;R_NO;0;Point (10.39366155475279996 51.10659218573432838);Point (6.098200857719917 60.76723986169972)
6_AVG_SWE;R_DE;R_PL;0;Point (10.39366155475279996 51.10659218573432838);Point (19.40088385467417353 52.1246100865655464)
6_AVG_SWE;R_DE;R_SE;0;Point (10.39366155475279996 51.10659218573432838);Point (16.73975403305356124 62.78989678415778997)
6_AVG_SWE;R_DE;R_UK;0;Point (10.39366155475279996 51.10659218573432838);Point (-2.89558470050635464 54.15534972029963967)
6_AVG_SWE;R_DK;R_DE;-0.37211;Point (10.0462984146926555 55.96339824225690762);Point (10.39366155475279996 51.10659218573432838)
6_AVG_SWE;R_DK;R_NL;-0.34315;Point (10.0462984146926555 55.96339824225690762);Point (5.60341802694661251 52.2492632896254392)
6_AVG_SWE;R_DK;R_NO;0;Point (10.0462984146926555 55.96339824225690762);Point (6.098200857719917 60.76723986169972)
6_AVG_SWE;R_DK;R_PL;0;Point (10.0462984146926555 55.96339824225690762);Point (19.40088385467417353 52.1246100865655464)
6_AVG_SWE;R_DK;R_SE;0;Point (10.0462984146926555 55.96339824225690762);Point (16.73975403305356124 62.78989678415778997)
6_AVG_SWE;R_DK;R_UK;-0.30548;Point (10.0462984146926555 55.96339824225690762);Point (-2.89558470050635464 54.15534972029963967)
6_AVG_SWE;R_EE;R_FI;-0.004068012;Point (25.52761631201438064 58.67413590786344457);Point (26.26637086488721096 64.50042200031850825)
6_AVG_SWE;R_GR;R_AL;-0.160731;Point (22.95974634066739384 39.06853720123029206);Point (20.06838460591877649 41.14228482341689386)
6_AVG_SWE;R_GR;R_BG;-0.134814;Point (22.95974634066739384 39.06853720123029206);Point (25.23150624402950726 42.76137671439207821)
6_AVG_SWE;R_GR;R_IT;-0.27303;Point (22.95974634066739384 39.06853720123029206);Point (12.07174297035683175 42.79578239851078791)
6_AVG_SWE;R_GR;R_MK;-0.145062;Point (22.95974634066739384 39.06853720123029206);Point (21.69747626732899093 41.5996823122770536)
6_AVG_SWE;R_ES;R_FR;-0.16286;Point (-3.64956496042895662 40.22682992875569852);Point (2.55195521677779524 46.56450205398793685)
6_AVG_SWE;R_ES;R_PT;0;Point (-3.64956496042895662 40.22682992875569852);Point (-7.96218719075277637 39.69190982231604892)
6_AVG_SWE;R_FI;R_NO;0;Point (26.26637086488721096 64.50042200031850825);Point (6.098200857719917 60.76723986169972)
6_AVG_SWE;R_FI;R_SE;0;Point (26.26637086488721096 64.50042200031850825);Point (16.73975403305356124 62.78989678415778997)
6_AVG_SWE;R_FR;R_BE;-0.2552;Point (2.55195521677779524 46.56450205398793685);Point (4.66398918713680199 50.64285116363035399)
6_AVG_SWE;R_FR;R_CH;-0.00776;Point (2.55195521677779524 46.56450205398793685);Point (8.234429172288662 46.80256937605332013)
6_AVG_SWE;R_FR;R_DE;-0.33677;Point (2.55195521677779524 46.56450205398793685);Point (10.39366155475279996 51.10659218573432838)
6_AVG_SWE;R_FR;R_ES;0;Point (2.55195521677779524 46.56450205398793685);Point (-3.64956496042895662 40.22682992875569852)
6_AVG_SWE;R_FR;R_IE;-0.59513;Point (2.55195521677779524 46.56450205398793685);Point (-8.15057896021401795 53.17638162826426651)
6_AVG_SWE;R_FR;R_IT;-0.12364;Point (2.55195521677779524 46.56450205398793685);Point (12.07174297035683175 42.79578239851078791)
6_AVG_SWE;R_FR;R_LU;-0.3101;Point (2.55195521677779524 46.56450205398793685);Point (6.0878139690320392 49.77062957536391963)
6_AVG_SWE;R_FR;R_UK;-0.62889;Point (2.55195521677779524 46.56450205398793685);Point (-2.89558470050635464 54.15534972029963967)
6_AVG_SWE;R_HR;R_BA;-0.034888087;Point (16.41177821249747026 45.05116186966237279);Point (17.78653069680730781 44.1681152245203279)
6_AVG_SWE;R_HR;R_HU;0;Point (16.41177821249747026 45.05116186966237279);Point (19.41344796118307769 47.16650222537332127)
6_AVG_SWE;R_HR;R_RS;-0.034896211;Point (16.41177821249747026 45.05116186966237279);Point (20.80527172323537499 44.03149841861639402)
6_AVG_SWE;R_HR;R_SI;-3.41E-10;Point (16.41177821249747026 45.05116186966237279);Point (14.82653748920358083 46.12356376353400123)
6_AVG_SWE;R_HU;R_AT;0;Point (19.41344796118307769 47.16650222537332127);Point (14.14019348879524962 47.59290260691519592)
6_AVG_SWE;R_HU;R_HR;-0.0423046;Point (19.41344796118307769 47.16650222537332127);Point (16.41177821249747026 45.05116186966237279)
6_AVG_SWE;R_HU;R_RO;0;Point (19.41344796118307769 47.16650222537332127);Point (24.96925875927502858 45.84361473342863746)
6_AVG_SWE;R_HU;R_RS;-0.070484;Point (19.41344796118307769 47.16650222537332127);Point (20.80527172323537499 44.03149841861639402)
6_AVG_SWE;R_HU;R_SI;-0.0062405;Point (19.41344796118307769 47.16650222537332127);Point (14.82653748920358083 46.12356376353400123)
6_AVG_SWE;R_HU;R_SK;-0.33358;Point (19.41344796118307769 47.16650222537332127);Point (19.49165388227613604 48.70753128946242327)
6_AVG_SWE;R_IE;R_FR;0;Point (-8.15057896021401795 53.17638162826426651);Point (2.55195521677779524 46.56450205398793685)
6_AVG_SWE;R_IE;R_UK;-1.75E-10;Point (-8.15057896021401795 53.17638162826426651);Point (-2.89558470050635464 54.15534972029963967)
6_AVG_SWE;R_IT;R_AT;0;Point (12.07174297035683175 42.79578239851078791);Point (14.14019348879524962 47.59290260691519592)
6_AVG_SWE;R_IT;R_CH;0;Point (12.07174297035683175 42.79578239851078791);Point (8.234429172288662 46.80256937605332013)
6_AVG_SWE;R_IT;R_GR;0;Point (12.07174297035683175 42.79578239851078791);Point (22.95974634066739384 39.06853720123029206)
6_AVG_SWE;R_IT;R_FR;0;Point (12.07174297035683175 42.79578239851078791);Point (2.55195521677779524 46.56450205398793685)
6_AVG_SWE;R_IT;R_ME;0;Point (12.07174297035683175 42.79578239851078791);Point (19.25030495955028798 42.79159324834609635)
6_AVG_SWE;R_IT;R_SI;0;Point (12.07174297035683175 42.79578239851078791);Point (14.82653748920358083 46.12356376353400123)
6_AVG_SWE;R_LT;R_LV;-0.011214861;Point (23.89812325011706307 55.33567048559037005);Point (24.92942396864251009 56.85753443708565413)
6_AVG_SWE;R_LT;R_PL;-0.5253;Point (23.89812325011706307 55.33567048559037005);Point (19.40088385467417353 52.1246100865655464)
6_AVG_SWE;R_LT;R_SE;-0.0125952;Point (23.89812325011706307 55.33567048559037005);Point (16.73975403305356124 62.78989678415778997)
6_AVG_SWE;R_LU;R_BE;0;Point (6.0878139690320392 49.77062957536391963);Point (4.66398918713680199 50.64285116363035399)
6_AVG_SWE;R_LU;R_FR;0;Point (6.0878139690320392 49.77062957536391963);Point (2.55195521677779524 46.56450205398793685)
6_AVG_SWE;R_LV;R_EE;-3.27E-10;Point (24.92942396864251009 56.85753443708565413);Point (25.52761631201438064 58.67413590786344457)
6_AVG_SWE;R_LV;R_SE;0;Point (24.92942396864251009 56.85753443708565413);Point (16.73975403305356124 62.78989678415778997)
6_AVG_SWE;R_ME;R_AL;-1.58E-10;Point (19.25030495955028798 42.79159324834609635);Point (20.06838460591877649 41.14228482341689386)
6_AVG_SWE;R_ME;R_BA;0;Point (19.25030495955028798 42.79159324834609635);Point (17.78653069680730781 44.1681152245203279)
6_AVG_SWE;R_ME;R_IT;-0.05046;Point (19.25030495955028798 42.79159324834609635);Point (12.07174297035683175 42.79578239851078791)
6_AVG_SWE;R_ME;R_RS;0;Point (19.25030495955028798 42.79159324834609635);Point (20.80527172323537499 44.03149841861639402)
6_AVG_SWE;R_MK;R_AL;-7.92E-10;Point (21.69747626732899093 41.5996823122770536);Point (20.06838460591877649 41.14228482341689386)
