scenario,simyear,value
exp_baseline,2030,5.42
exp_baseline,2030,77.75
exp_baseline,2030,77.75
exp_baseline,2030,-37.31
exp_baseline,2030,77.28
exp_baseline,2030,77.56
exp_baseline,2030,-38.31
exp_baseline,2030,80.54
exp_baseline,2030,78.16
exp_baseline,2030,79.28
exp_baseline,2030,-38.31
exp_baseline,2030,84.59
exp_baseline,2030,-26.38
exp_baseline,2030,79.44
exp_baseline,2030,78.75
exp_baseline,2030,78.75
exp_baseline,2030,81.59
exp_baseline,2030,76.75
exp_baseline,2030,76.75
exp_baseline,2030,-38.31
exp_baseline,2030,81.19
exp_baseline,2030,83.43
exp_baseline,2030,83.19
exp_baseline,2030,81.43
exp_baseline,2030,82.29
exp_baseline,2030,82.43
exp_baseline,2030,83.43
exp_baseline,2030,82.43
exp_baseline,2030,81.51
exp_baseline,2030,80.51
exp_baseline,2030,86.43
exp_baseline,2030,80.46
exp_baseline,2030,80.43
exp_baseline,2030,85.77
exp_baseline,2030,81.43
exp_baseline,2030,84.25
exp_baseline,2030,84.07
exp_baseline,2030,80.48
exp_baseline,2030,82.43
exp_baseline,2030,84.43
exp_baseline,2030,81.43
exp_baseline,2030,85.43
exp_baseline,2030,82.19
exp_baseline,2030,81.46
exp_baseline,2030,81.43
exp_baseline,2030,84.65
exp_baseline,2030,83.43
exp_baseline,2030,77.44
exp_baseline,2030,83.19
exp_baseline,2030,84.19
exp_baseline,2030,84.77
exp_baseline,2030,83.43
exp_baseline,2030,83.07
exp_baseline,2030,80.51
exp_baseline,2030,83.44
exp_baseline,2030,85.52
exp_baseline,2030,87.52
exp_baseline,2030,82.52
exp_baseline,2030,86.62
exp_baseline,2030,85.27
exp_baseline,2030,86.52
exp_baseline,2030,84.52
exp_baseline,2030,83.52
exp_baseline,2030,82.52
exp_baseline,2030,87.36
exp_baseline,2030,84.44
exp_baseline,2030,80.51
exp_baseline,2030,86.36
exp_baseline,2030,81.51
exp_baseline,2030,87.52
exp_baseline,2030,87.52
exp_baseline,2030,81.50
exp_baseline,2030,85.52
exp_baseline,2030,85.36
exp_baseline,2030,83.52
exp_baseline,2030,86.36
exp_baseline,2030,86.52
exp_baseline,2030,85.62
exp_baseline,2030,83.52
exp_baseline,2030,84.65
exp_baseline,2030,86.44
exp_baseline,2030,79.51
exp_baseline,2030,87.57
exp_baseline,2030,88.52
exp_baseline,2030,85.36
exp_baseline,2030,86.52
exp_baseline,2030,87.44
exp_baseline,2030,80.51
exp_baseline,2030,85.30
exp_baseline,2030,86.57
exp_baseline,2030,87.57
exp_baseline,2030,89.56
exp_baseline,2030,87.30
exp_baseline,2030,87.53
exp_baseline,2030,92.56
exp_baseline,2030,91.56
exp_baseline,2030,86.52
exp_baseline,2030,85.52
exp_baseline,2030,21.13
exp_baseline,2030,86.30
exp_baseline,2030,52.61
exp_baseline,2030,20.13
exp_baseline,2030,87.53
exp_baseline,2030,86.64
exp_baseline,2030,88.57
exp_baseline,2030,88.53
exp_baseline,2030,86.53
exp_baseline,2030,23.13
exp_baseline,2030,90.56
exp_baseline,2030,22.13
exp_baseline,2030,86.57
exp_baseline,2030,87.30
exp_baseline,2030,90.56
exp_baseline,2030,84.65
exp_baseline,2030,92.56
exp_baseline,2030,51.61
exp_baseline,2030,87.57
exp_baseline,2030,88.57
exp_baseline,2030,85.52
exp_baseline,2030,87.57
exp_baseline,2030,91.56
exp_baseline,2030,88.56
exp_baseline,2030,83.54
exp_baseline,2030,86.54
exp_baseline,2030,87.54
exp_baseline,2030,89.56
exp_baseline,2030,86.64
exp_baseline,2030,86.54
exp_baseline,2030,92.56
exp_baseline,2030,91.56
exp_baseline,2030,86.52
exp_baseline,2030,85.52
exp_baseline,2030,20.61
exp_baseline,2030,84.54
exp_baseline,2030,52.61
exp_baseline,2030,19.61
exp_baseline,2030,85.54
exp_baseline,2030,86.54
exp_baseline,2030,88.54
exp_baseline,2030,87.86
exp_baseline,2030,85.54
exp_baseline,2030,22.61
exp_baseline,2030,90.56
exp_baseline,2030,21.61
exp_baseline,2030,86.54
exp_baseline,2030,85.66
exp_baseline,2030,90.56
exp_baseline,2030,84.65
exp_baseline,2030,92.56
exp_baseline,2030,51.61
exp_baseline,2030,87.57
exp_baseline,2030,88.54
exp_baseline,2030,85.52
exp_baseline,2030,87.54
exp_baseline,2030,91.56
exp_baseline,2030,86.86
exp_baseline,2030,79.16
exp_baseline,2030,-40.14
exp_baseline,2030,78.34
exp_baseline,2030,-37.31
exp_baseline,2030,79.75
exp_baseline,2030,10.53
exp_baseline,2030,-25.38
exp_baseline,2030,-39.31
exp_baseline,2030,-38.31
exp_baseline,2030,-39.31
exp_baseline,2030,81.54
exp_baseline,2030,78.75
exp_baseline,2030,80.44
exp_baseline,2030,82.59
exp_baseline,2030,5.43
exp_baseline,2030,77.75
exp_baseline,2030,77.75
exp_baseline,2030,4.42
exp_baseline,2030,79.16
exp_baseline,2030,77.56
exp_baseline,2030,-38.31
exp_baseline,2030,80.54
exp_baseline,2030,78.16
exp_baseline,2030,79.75
exp_baseline,2030,-38.31
exp_baseline,2030,84.59
exp_baseline,2030,-26.38
exp_baseline,2030,80.44
exp_baseline,2030,78.75
exp_baseline,2030,78.75
exp_baseline,2030,83.59
exp_baseline,2030,78.16
exp_baseline,2030,76.75
exp_baseline,2030,0.00
exp_baseline,2030,75.30
exp_baseline,2030,-40.31
exp_baseline,2030,77.30
exp_baseline,2030,-37.31
exp_baseline,2030,77.30
exp_baseline,2030,10.53
exp_baseline,2030,-25.38
exp_baseline,2030,-39.31
exp_baseline,2030,-38.31
exp_baseline,2030,-39.31
exp_baseline,2030,81.54
exp_baseline,2030,74.30
exp_baseline,2030,80.44
exp_baseline,2030,82.59
exp_baseline,2030,5.42
exp_baseline,2030,76.30
exp_baseline,2030,75.30
exp_baseline,2030,4.42
exp_baseline,2030,73.30
exp_baseline,2030,77.56
exp_baseline,2030,-38.31
exp_baseline,2030,80.54
exp_baseline,2030,76.30
exp_baseline,2030,76.30
exp_baseline,2030,-38.31
exp_baseline,2030,84.59
exp_baseline,2030,-26.38
exp_baseline,2030,80.44
exp_baseline,2030,76.30
exp_baseline,2030,77.30
exp_baseline,2030,83.59
exp_baseline,2030,75.30
exp_baseline,2030,74.30
exp_baseline,2030,0.00
exp_baseline,2030,83.44
exp_baseline,2030,85.52
exp_baseline,2030,87.52
exp_baseline,2030,84.52
exp_baseline,2030,86.62
exp_baseline,2030,85.27
exp_baseline,2030,86.52
exp_baseline,2030,84.52
exp_baseline,2030,83.52
exp_baseline,2030,82.52
exp_baseline,2030,86.52
exp_baseline,2030,84.44
exp_baseline,2030,82.52
exp_baseline,2030,85.52
exp_baseline,2030,83.52
exp_baseline,2030,87.52
exp_baseline,2030,87.52
