WKT;WKT_old;Region_1;Region_2;Region_1_Coord;Region_2_Coord;NEW_LINES;LoadFlow;YYY;XCapacityMonth
MultiLineString ((20.32094001065610911 45.02817732293024022, 18.55425777036804647 45.37759367902011576));LINESTRING (16.41177821249747026 45.05116186966237279,20.80527172323537499 44.03149841861639402);R_HR;R_RS;Point (16.41177821249747026 45.05116186966237279);Point (20.80527172323537499 44.03149841861639402);MultiLineString ((20.32094001065610911 45.02817732293024022, 18.55425777036804647 45.37759367902011576));NTC;2040;300
MultiLineString ((20.99248589146736421 46.91989345398534539, 23.70966383998058546 46.25871515154589986));LINESTRING (19.41344796118307769 47.16650222537332127,24.96925875927502858 45.84361473342863746);R_HU;R_RO;Point (19.41344796118307769 47.16650222537332127);Point (24.96925875927502858 45.84361473342863746);MultiLineString ((20.99248589146736421 46.91989345398534539, 23.70966383998058546 46.25871515154589986));NTC;2040;3027
MultiLineString ((20.16596788431505516 45.52978852446238278, 19.70105150529187554 46.50193558538911276));LINESTRING (19.41344796118307769 47.16650222537332127,20.80527172323537499 44.03149841861639402);R_HU;R_RS;Point (19.41344796118307769 47.16650222537332127);Point (20.80527172323537499 44.03149841861639402);MultiLineString ((20.16596788431505516 45.52978852446238278, 19.70105150529187554 46.50193558538911276));NTC;2040;1100
MultiLineString ((15.51163835653859913 41.0957276341593527, 18.92102513604188019 42.57738344445730405));LINESTRING (12.07174297035683175 42.79578239851078791,19.25030495955028798 42.79159324834609635);R_IT;R_ME;Point (12.07174297035683175 42.79578239851078791);Point (19.25030495955028798 42.79159324834609635);MultiLineString ((15.51163835653859913 41.0957276341593527, 18.92102513604188019 42.57738344445730405));NTC;2040;2200
MultiLineString ((22.17802265797646299 55.80084060007474278, 16.02304637346410132 58.00179576188111241));LINESTRING (23.89812325011706307 55.33567048559037005,16.73975403305356124 62.78989678415778997);R_LT;R_SE;Point (23.89812325011706307 55.33567048559037005);Point (16.73975403305356124 62.78989678415778997);MultiLineString ((22.17802265797646299 55.80084060007474278, 16.02304637346410132 58.00179576188111241));NTC;2040;1300
MultiLineString ((24.92942396864251009 56.85753443708565413, 18.15133024188129696 59.83605435777835879));LINESTRING (24.92942396864251009 56.85753443708565413,16.73975403305356124 62.78989678415778997);R_LV;R_SE;Point (24.92942396864251009 56.85753443708565413);Point (16.73975403305356124 62.78989678415778997);MultiLineString ((24.92942396864251009 56.85753443708565413, 18.15133024188129696 59.83605435777835879));NTC;2040;500
MultiLineString ((9.20943855200223283 46.80952051982817608, 11.65799814819095204 47.25666369209499607));LINESTRING (14.14019348879524962 47.59290260691519592,8.234429172288662 46.80256937605332013);R_AT;R_CH;Point (14.14019348879524962 47.59290260691519592);Point (8.234429172288662 46.80256937605332013);MultiLineString ((9.20943855200223283 46.80952051982817608, 11.65799814819095204 47.25666369209499607));NTC;2040;2200
MultiLineString ((13.46342342006428439 47.90564445183223796, 11.32739094533002699 49.09418014799860686));LINESTRING (14.14019348879524962 47.59290260691519592,10.39366155475279996 51.10659218573432838);R_AT;R_DE;Point (14.14019348879524962 47.59290260691519592);Point (10.39366155475279996 51.10659218573432838);MultiLineString ((13.46342342006428439 47.90564445183223796, 11.32739094533002699 49.09418014799860686));NTC;2040;9500
MultiLineString ((4.35364525998241092 46.95428336648713241, 7.42725909908006443 46.84928091872819778));LINESTRING (8.234429172288662 46.80256937605332013,2.55195521677779524 46.56450205398793685);R_CH;R_FR;Point (8.234429172288662 46.80256937605332013);Point (2.55195521677779524 46.56450205398793685);MultiLineString ((4.35364525998241092 46.95428336648713241, 7.42725909908006443 46.84928091872819778));NTC;2040;2200
MultiLineString ((9.22493576463634213 49.56130118202203505, 5.42811866928041464 47.68267672905448507));LINESTRING (10.39366155475279996 51.10659218573432838,2.55195521677779524 46.56450205398793685);R_DE;R_FR;Point (10.39366155475279996 51.10659218573432838);Point (2.55195521677779524 46.56450205398793685);MultiLineString ((9.22493576463634213 49.56130118202203505, 5.42811866928041464 47.68267672905448507));NTC;2040;4800
